auc_roc,auc_pr,precision,recall,f1,brier,ece_10,stream,arm,method,seed,threshold,n_test,test_prevalence,elapsed_s,uses_fallback,test_attacks
0.8605524528167093,0.39442764015582354,0.2629679747406405,0.04927732228890204,0.083001138952164,0.16299749561647936,0.1636013620879963,litnet_udp_flood,natural,proposed_detector,11,0.6551724137931034,75000,0.15774666666666667,1902.34,False,11831
0.9199397327450216,0.5526751355659094,0.5563294232649071,0.7696728932465556,0.6458385049115217,0.2578947622874521,0.39083692829570754,litnet_udp_flood,natural,hst,11,0.6227673444724193,75000,0.15774666666666667,2613.51,False,11831
0.7842923544670468,0.32118481334414195,0.32754029432375614,0.5925957231003296,0.42189192441930434,0.12191205999410665,0.06338487306537922,litnet_udp_flood,natural,ecod,11,0.1647657557443193,75000,0.15774666666666667,8.76,False,11831
0.9993157501866134,0.9640914036996736,0.28617571059431524,1.0,0.44500251130085383,0.09208393105100089,0.14496612245075682,litnet_blaster_worm,natural,proposed_detector,11,0.6551724137931034,75000,0.03544,2185.47,False,2658
0.9018203761836153,0.14773120106931723,0.13030228557385107,0.9973664409330324,0.23049167499891318,0.2126300398577486,0.4177130102690613,litnet_blaster_worm,natural,hst,11,0.5118639871824215,75000,0.03544,3186.26,False,2658
0.5180624221845324,0.03570995886724725,0.06011398588746155,1.0,0.11341041942228101,0.09392038421012971,0.19447319575518462,litnet_blaster_worm,natural,ecod,11,0.14732987408840809,75000,0.03544,9.24,False,2658
0.9998397179035102,0.8461538461538461,0.0755580995993131,1.0,0.14050026609898883,0.016616076018427576,0.022894033674459545,litnet_spam,natural,proposed_detector,11,0.6551724137931034,75000,0.00176,2526.85,False,132
0.9011954980159019,0.008447400493470323,0.004684755026351747,0.18181818181818182,0.009134157944814463,0.2621513043837341,0.501223281318526,litnet_spam,natural,hst,11,0.6551724137931034,75000,0.00176,50144.03,False,132
0.9909727989949179,0.10680525833075157,0.10344827586206896,0.13636363636363635,0.11764705882352941,0.0941438504678546,0.2891146134875674,litnet_spam,natural,ecod,11,0.6551724137931034,75000,0.00176,11.17,False,132
