dataset,method,n_runs,auc_pr_mean,auc_pr_ci_low,auc_pr_ci_high,auc_roc_mean,auc_roc_ci_low,auc_roc_ci_high,f1_mean,f1_ci_low,f1_ci_high,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_10_mean,ece_10_ci_low,ece_10_ci_high,latency_mean_mean,latency_mean_ci_low,latency_mean_ci_high,throughput_eps_mean,throughput_eps_ci_low,throughput_eps_ci_high,score_std_mean,score_std_ci_low,score_std_ci_high,score_min_mean,score_min_ci_low,score_min_ci_high,score_max_mean,score_max_ci_low,score_max_ci_high,score_finite_frac_mean,score_finite_frac_ci_low,score_finite_frac_ci_high
synthetic_mean_shift,bocpd_slo,1,0.9764630785910282,,,0.9853472222222223,,,0.8252427184466019,,,0.9883720930232558,,,0.7083333333333334,,,0.1021513978051937,,,0.18390187635460356,,,0.0,,,272.4223454429523,,,0.3466365285725555,,,0.000339659084943285,,,0.9998180406026035,,,1.0,,
synthetic_mean_shift,copod_batch_ref,1,0.9993589743589744,,,0.9996527777777778,,,0.9875518672199171,,,0.9834710743801653,,,0.9916666666666667,,,0.08040134824280099,,,0.2091667607284757,,,0.0,,,64234.09759879381,,,0.23884855595568705,,,0.0,,,0.9775455729035165,,,1.0,,
synthetic_mean_shift,ecod_batch_ref,1,0.9694415697137888,,,0.9855208333333334,,,0.9224489795918367,,,0.904,,,0.9416666666666667,,,0.10018371849741176,,,0.2011606896120476,,,0.0,,,39.624913213183966,,,0.21442650050804676,,,0.0,,,0.9774171034455628,,,1.0,,
synthetic_mean_shift,hst,1,0.824592120739694,,,0.913125,,,0.7478991596638656,,,0.7542372881355932,,,0.7416666666666667,,,0.6639695527026692,,,0.6651258842857506,,,0.0,,,9.318754931611199,,,0.001398055554340272,,,0.9925172637521935,,,0.9998538063630121,,,1.0,,
synthetic_mean_shift,iforest_asd,1,0.8710500148034226,,,0.9428125,,,0.8225806451612904,,,0.796875,,,0.85,,,0.20246736448200223,,,0.2089581975826574,,,0.0,,,21.773551843184215,,,0.029652231490248745,,,0.2746976720860954,,,0.4001225072950771,,,1.0,,
synthetic_mean_shift,kitnet,1,0.989983207676425,,,0.9915277777777778,,,0.979253112033195,,,0.9752066115702479,,,0.9833333333333333,,,0.03956126676060004,,,0.11904965258177194,,,1.0,,,440.6017444890858,,,0.37011975802819425,,,6.075269547600737e-06,,,1.2970832275145618,,,1.0,,
synthetic_mean_shift,loda,1,0.578055576369917,,,0.7942013888888888,,,0.3391812865497076,,,0.5686274509803921,,,0.24166666666666667,,,0.39479676578291895,,,0.4245541012150063,,,0.0,,,17.295104298846876,,,0.018185359232263647,,,0.7210314469824978,,,0.8054960114770718,,,1.0,,
synthetic_mean_shift,lof_batch_ref,1,0.998980545626361,,,0.9994444444444445,,,0.9787234042553191,,,1.0,,,0.9583333333333334,,,0.09138539276237846,,,0.16746565303591385,,,0.0,,,13970.924952949914,,,0.2545083165344483,,,0.0016939413069345195,,,0.9765945864719463,,,1.0,,
synthetic_mean_shift,rrcf,1,0.3497800332888528,,,0.5039236111111111,,,0.31627906976744186,,,0.35789473684210527,,,0.2833333333333333,,,0.46601099562991505,,,0.49019316623799314,,,1.0,,,6.794159164033857,,,0.06416607653602838,,,0.6772955336758895,,,0.9677826842097235,,,1.0,,
synthetic_mean_shift,xstream,1,0.4311427708780238,,,0.6259375,,,0.5210526315789473,,,0.38076923076923075,,,0.825,,,0.3333333333333333,,,0.3333333333333333,,,0.0,,,1.5082210426807177,,,0.8809582110592546,,,-5.138468332286792,,,-1.938703647195834,,,1.0,,
