auc_roc,auc_pr,precision,recall,f1,brier,ece_10,latency_mean,latency_p50,latency_p95,latency_p99,throughput_eps,burn_rate_alerts,score_std,score_min,score_max,score_finite_frac,dataset,method,seed,threshold,n_test,uses_fallback,level_target_pct,is_natural,resample_seed,n_redraws,n_flows,achieved_train_prev,achieved_val_prev,achieved_test_prev,cell_wall_s,brier_raw,brier_iso,crc_alpha,crc_tau,elkan_tau,alert_rate,test_fpr,provenance
0.9555534389282968,0.3670043258093159,0.2865399284163586,0.9997952707544272,0.4454224147759663,0.1120507857359311,0.1207402013656243,0.0,0.0,0.0,0.0,208.65079375291748,196529,0.3639761664012778,8.386565697562796e-05,1.0,1.0,cicids2017,bocpd_slo,11,0.261744966442953,196902,False,5.0,False,11,0,1312671,0.0499418306635657,0.0506551549009649,0.0496135133213476,6467.3,,,,,,,,sweep_cell
0.9554185913131064,0.3667610603111254,0.2858569247033948,0.999486600266968,0.4445662350711333,0.112001127810169,0.1205476085316206,0.0,0.0,0.0,0.0,189.70815036259097,196521,0.3638034184385931,8.386565697562796e-05,1.0,1.0,cicids2017,bocpd_slo,23,0.261744966442953,196902,False,5.0,False,23,0,1312671,0.0499592433741915,0.0507262569832402,0.0494611532640602,10658.1,,,,,,,,sweep_cell
0.955631450817246,0.3677259727202965,0.2856179643527204,0.9996921814077572,0.44429750558621,0.1123211312070582,0.1210874033034168,0.0,0.0,0.0,0.0,76.60146628368241,196519,0.3640438401589131,1.5029641353968528e-11,1.0,1.0,cicids2017,bocpd_slo,47,0.261744966442953,196902,False,5.0,False,47,0,1312671,0.0499135350087988,0.0509040121889283,0.049496703944094,8434.7,,,,,,,,sweep_cell
0.9532368300310364,0.3691601604881614,0.0,0.0,0.0,0.0360016308312653,0.0368363065989365,,,,,208.65079375291748,173257,0.0733470965814272,0.0071942446043165,0.2360962566844919,1.0,cicids2017,bocpd_v1_iso_crc,11,0.236096256684492,196902,False,5.0,False,11,0,1312671,0.0499418306635657,0.0506551549009649,0.0496135133213476,6467.3,0.1120507857359311,0.0360016308312653,0.01,0.236096256684492,0.0909090909090909,0.0,0.0,sweep_cell
0.9539670064610531,0.3724003052047931,0.0,0.0,0.0,0.0359918521744504,0.0382142780776614,,,,,189.70815036259097,173084,0.072332335915869,0.0115830115830115,0.2339818073169112,1.0,cicids2017,bocpd_v1_iso_crc,23,0.2339818073169112,196902,False,5.0,False,23,0,1312671,0.0499592433741915,0.0507262569832402,0.0494611532640602,10658.1,0.112001127810169,0.0359918521744504,0.01,0.2339818073169112,0.0909090909090909,0.0,0.0,sweep_cell
0.9535374910334982,0.3703236493488774,0.0,0.0,0.0,0.0359909776841499,0.0370398136203605,,,,,76.60146628368241,172997,0.072885004438802,0.006578947368421,0.2334769638713954,1.0,cicids2017,bocpd_v1_iso_crc,47,0.2334769638713954,196902,False,5.0,False,47,0,1312671,0.0499135350087988,0.0509040121889283,0.049496703944094,8434.7,0.1123211312070582,0.0359909776841499,0.01,0.2334769638713954,0.0909090909090909,0.0,0.0,sweep_cell
0.9532368300310364,0.3691601604881614,0.2583913031978205,1.0,0.4106692449974777,0.0360016308312653,0.0368363065989365,0.0,0.0,0.0,0.0,208.65079375291748,196595,0.0733470965814272,0.0071942446043165,0.2360962566844919,1.0,cicids2017,bocpd_v3_iso_elkan,11,0.0909090909090909,196902,False,5.0,False,11,0,1312671,0.0499418306635657,0.0506551549009649,0.0496135133213476,6467.3,0.1120507857359311,0.0360016308312653,0.01,0.236096256684492,0.0909090909090909,0.1920092228621344,0.149829265816291,sweep_cell
0.9539670064610531,0.3724003052047931,0.2582091135748767,0.9995892802135744,0.4104045024346031,0.0359918521744504,0.0382142780776614,0.0,0.0,0.0,0.0,189.70815036259097,196584,0.072332335915869,0.0115830115830115,0.2339818073169112,1.0,cicids2017,bocpd_v3_iso_elkan,23,0.0909090909090909,196902,False,5.0,False,23,0,1312671,0.0499592433741915,0.0507262569832402,0.0494611532640602,10658.1,0.112001127810169,0.0359918521744504,0.01,0.2339818073169112,0.0909090909090909,0.1914759626616286,0.1494259014869391,sweep_cell
0.9535374910334982,0.3703236493488774,0.2574092662052935,0.9998973938025856,0.4094193765229812,0.0359909776841499,0.0370398136203605,0.0,0.0,0.0,0.0,76.60146628368241,196586,0.072885004438802,0.006578947368421,0.2334769638713954,1.0,cicids2017,bocpd_v3_iso_elkan,47,0.0909090909090909,196902,False,5.0,False,47,0,1312671,0.0499135350087988,0.0509040121889283,0.049496703944094,8434.7,0.1123211312070582,0.0359909776841499,0.01,0.2334769638713954,0.0909090909090909,0.192268234959523,0.1502115881938062,sweep_cell
0.9555534389282968,0.3670043258093159,0.2547991653625456,1.0,0.4061194371115592,0.1120507857359311,0.1207402013656243,0.0,0.0,0.0,0.0,208.65079375291748,196595,0.3639761664012778,8.386565697562796e-05,1.0,1.0,cicids2017,bocpd_v4_raw_elkan,11,0.0909090909090909,196902,False,5.0,False,11,0,1312671,0.0499418306635657,0.0506551549009649,0.0496135133213476,6467.3,0.1120507857359311,0.0360016308312653,0.01,0.236096256684492,0.0909090909090909,0.1947161532132736,0.1526775074412316,sweep_cell
0.9554185913131064,0.3667610603111254,0.254936364112502,0.9995892802135744,0.4062597809076683,0.112001127810169,0.1205476085316206,0.0,0.0,0.0,0.0,189.70815036259097,196586,0.3638034184385931,8.386565697562796e-05,1.0,1.0,cicids2017,bocpd_v4_raw_elkan,23,0.0909090909090909,196902,False,5.0,False,23,0,1312671,0.0499592433741915,0.0507262569832402,0.0494611532640602,10658.1,0.112001127810169,0.0359918521744504,0.01,0.2339818073169112,0.0909090909090909,0.1939340382525317,0.152011882690489,sweep_cell
0.955631450817246,0.3677259727202965,0.2539215175360884,0.9998973938025856,0.4049954284764358,0.1123211312070582,0.1210874033034168,0.0,0.0,0.0,0.0,76.60146628368241,196588,0.3640438401589131,1.5029641353968528e-11,1.0,1.0,cicids2017,bocpd_v4_raw_elkan,47,0.0909090909090909,196902,False,5.0,False,47,0,1312671,0.0499135350087988,0.0509040121889283,0.049496703944094,8434.7,0.1123211312070582,0.0359909776841499,0.01,0.2334769638713954,0.0909090909090909,0.1949091426191709,0.1529900190215649,sweep_cell
0.8855797563234478,0.1670658992250639,0.2073429449712084,0.9804483570478044,0.3422975894787627,0.0658146690601932,0.1315296971752607,0.003848153926157,0.0,0.0,0.0,2589.464678354586,196651,0.1439294752272034,0.0,1.0,1.0,cicids2017,ecod_batch_ref,11,0.2986533220206304,196902,False,5.0,False,11,0,1312671,0.0499418306635657,0.0506551549009649,0.0496135133213476,3255.1,,,,,,,,sweep_cell
