auc_roc,auc_pr,precision,recall,f1,brier,ece_10,stream,arm,method,seed,threshold,n_test,test_prevalence,elapsed_s,uses_fallback,test_attacks,source_part
0.5265479518013249,0.728336791698741,0.8412641621943947,0.3015192594220952,0.4439289936572582,0.4688733878387622,0.4855728865060078,cicids2017,natural,proposed_detector,11,0.6551724137931034,240000,0.68235,3221.77,False,163764,contrast_cicids_natural.csv
0.3501883364264027,0.5889018686817972,0.6820492716027242,0.9986138589677828,0.8105179946324624,0.5036501807778981,0.5233249599750973,cicids2017,natural,hst,11,0.0069263410391393,240000,0.68235,5346.92,False,163764,contrast_cicids_natural.csv
0.7549285093241824,0.755141517865334,0.8681117813994083,0.9657189614323052,0.9143177593867162,0.4101932283464759,0.5191715697775612,cicids2017,natural,ecod,11,0.172361993825426,240000,0.68235,56.76,False,163764,contrast_cicids_natural.csv
0.8800762490302547,0.5449975692637248,0.6093529736245327,0.4923813454395377,0.5446576943445153,0.1724239195639255,0.1730122897100817,cicids2017,interleaved_synthetic,proposed_detector,11,0.6551724137931034,240000,0.2523958333333333,3285.31,False,60575,contrast_cicids_synthetic.csv
0.860832761232099,0.5136231240631418,0.3807658696977889,0.9998349153941396,0.5515033965288022,0.1618211555052219,0.2010319848542407,cicids2017,interleaved_synthetic,hst,11,0.2765242194247349,240000,0.2523958333333333,5340.68,False,60575,contrast_cicids_synthetic.csv
0.8075728351061373,0.418965884610567,0.532445117335352,0.8708543128353281,0.6608455997494519,0.1597042525107886,0.1977568798837196,cicids2017,interleaved_synthetic,ecod,11,0.2429671595010712,240000,0.2523958333333333,53.03,False,60575,contrast_cicids_synthetic.csv
0.8605524528167093,0.3944276401558235,0.2629679747406405,0.049277322288902,0.083001138952164,0.1629974956164793,0.1636013620879963,litnet_udp_flood,natural,proposed_detector,11,0.6551724137931034,75000,0.1577466666666666,1902.34,False,11831,contrast_litnet_natural.csv
0.9199397327450216,0.5526751355659094,0.5563294232649071,0.7696728932465556,0.6458385049115217,0.2578947622874521,0.3908369282957075,litnet_udp_flood,natural,hst,11,0.6227673444724193,75000,0.1577466666666666,2613.51,False,11831,contrast_litnet_natural.csv
0.7842923544670468,0.3211848133441419,0.3275402943237561,0.5925957231003296,0.4218919244193043,0.1219120599941066,0.0633848730653792,litnet_udp_flood,natural,ecod,11,0.1647657557443193,75000,0.1577466666666666,8.76,False,11831,contrast_litnet_natural.csv
0.9993157501866134,0.9640914036996736,0.2861757105943152,1.0,0.4450025113008538,0.0920839310510008,0.1449661224507568,litnet_blaster_worm,natural,proposed_detector,11,0.6551724137931034,75000,0.03544,2185.47,False,2658,contrast_litnet_natural.csv
0.9018203761836152,0.1477312010693172,0.130302285573851,0.9973664409330324,0.2304916749989131,0.2126300398577486,0.4177130102690613,litnet_blaster_worm,natural,hst,11,0.5118639871824215,75000,0.03544,3186.26,False,2658,contrast_litnet_natural.csv
0.5180624221845324,0.0357099588672472,0.0601139858874615,1.0,0.113410419422281,0.0939203842101297,0.1944731957551846,litnet_blaster_worm,natural,ecod,11,0.147329874088408,75000,0.03544,9.24,False,2658,contrast_litnet_natural.csv
0.9998397179035102,0.8461538461538461,0.0755580995993131,1.0,0.1405002660989888,0.0166160760184275,0.0228940336744595,litnet_spam,natural,proposed_detector,11,0.6551724137931034,75000,0.00176,2526.85,False,132,contrast_litnet_natural.csv
0.901195498015902,0.0084474004934703,0.0046847550263517,0.1818181818181818,0.0091341579448144,0.2621513043837341,0.501223281318526,litnet_spam,natural,hst,11,0.6551724137931034,75000,0.00176,50144.03,False,132,contrast_litnet_natural.csv
0.990972798994918,0.1068052583307515,0.1034482758620689,0.1363636363636363,0.1176470588235294,0.0941438504678546,0.2891146134875674,litnet_spam,natural,ecod,11,0.6551724137931034,75000,0.00176,11.17,False,132,contrast_litnet_natural.csv
0.9982057304047244,0.9430559308750308,0.9756133609222584,0.4514739073934751,0.617290877635947,0.0148354464635235,0.0440586559262686,litnet_pooled,composite_synthetic,proposed_detector,11,0.6551724137931034,225000,0.0649822222222222,2653.19,False,14621,contrast_litnet_synthetic.csv
0.8634764585040372,0.2388402812597782,0.2924903682182783,0.3167362013542165,0.3041308202534971,0.6488560990855438,0.7696167116987719,litnet_pooled,composite_synthetic,hst,11,0.8874569741359579,225000,0.0649822222222222,5011.8,False,14621,contrast_litnet_synthetic.csv
0.7367741472468452,0.229143068911574,0.3092113408443729,0.3416318993228917,0.3246141348497157,0.1153680275728207,0.2307212523056212,litnet_pooled,composite_synthetic,ecod,11,0.4852087220956422,225000,0.0649822222222222,23.8,False,14621,contrast_litnet_synthetic.csv
