auc_roc,auc_pr,precision,recall,f1,brier,ece_10,latency_mean,latency_p50,latency_p95,latency_p99,throughput_eps,burn_rate_alerts,score_std,score_min,score_max,score_finite_frac,dataset,method,seed,threshold,n_test,uses_fallback
0.8800762490302547,0.5449975692637248,0.6469633437035033,0.6316797358646307,0.6392301973788622,0.17242391956392553,0.17301228971008178,0.06102917719810557,0.0,1.0,1.0,443.49197975728964,239693,0.3893332531184578,2.547457190678683e-14,1.0,1.0,cicids2017,bocpd_slo,11,0.261744966442953,240000,False
0.860832761232099,0.5136231240631418,0.3807658696977889,0.9998349153941395,0.5515033965288022,0.1618211555052219,0.2010319848542407,8.254911672445105e-05,0.0,0.0,0.0,40.320858053134806,239855,0.15339285362174906,0.08929247577630273,0.9877965618371862,1.0,cicids2017,hst,11,0.27652421942473493,240000,False
0.34409330590203924,0.19111965874385498,0.25239287782884623,0.9999174576970697,0.40305032639290916,0.2972797763048238,0.30836360132737445,8.254230293025175e-05,0.0,0.0,0.0,375.2510241919841,239941,255802493518650.16,0.024708146569403722,2.099416351287085e+16,1.0,cicids2017,kitnet,11,0.02599817658824283,240000,False
0.7169737991040877,0.33889663314274693,0.36592396000493765,0.9787371027651671,0.5326894135088389,0.3274174688193844,0.393777972905485,0.0068846527521860025,0.0,0.0,0.0,86.11925735483969,239936,0.08986874091506102,0.3507726015201701,0.8612470896725758,1.0,cicids2017,loda,11,0.602901120772544,240000,False
0.47366743576188686,0.25117728949521956,0.2523958333333333,1.0,0.40306080013307827,0.5793977730494972,0.6163581325879762,0.0,0.0,0.0,0.0,8.411302018349874,239941,0.08305002625020617,0.557520942011586,0.99609375,1.0,cicids2017,rrcf,11,0.5524748451434477,240000,False
0.6563644297993929,0.29581284934830965,0.28646756993213685,1.0,0.4453552916957689,0.18889896459493127,0.04141071356604299,0.0,0.0,0.0,0.0,47.0550795853799,239941,0.031154030970893087,0.23688172256801177,0.439569229337621,1.0,cicids2017,iforest_asd,11,0.2498002183910105,240000,False
0.9718409145185722,0.862660966554123,0.8810882036284167,0.9051754023937267,0.892969398889305,0.25240084525909734,0.25240165508181,0.0041771853035724015,0.0,0.0,0.0,167.5782824405153,238628,0.0022387210083782473,9.62227568782396e-19,1.0,1.0,cicids2017,lof_batch_ref,11,2.171276415462356e-17,240000,False
0.8075728351061373,0.418965884610567,0.532445117335352,0.8708543128353281,0.6608455997494519,0.15970425251078862,0.19775687988371968,0.03497731596663252,0.0,0.0,1.0,4339.021300677516,239874,0.13447151305005892,0.0,1.0,1.0,cicids2017,ecod_batch_ref,11,0.24296715950107123,240000,False
0.8117111519918692,0.42315640071117505,0.46152204890612736,0.9998514238547256,0.6315339457576926,0.16067342874543494,0.19724314817218702,9.90556692861388e-05,0.0,0.0,0.0,4097.69876269898,239905,0.14068451126376355,5.1992870249864283e-05,1.0,1.0,cicids2017,copod_batch_ref,11,0.12327073772909414,240000,False
0.8800762490302547,0.5449975692637248,0.6469633437035033,0.6316797358646307,0.6392301973788622,0.17242391956392553,0.17301228971008178,0.06102917719810557,0.0,1.0,1.0,443.8739657344375,239693,0.3893332531184578,2.547457190678683e-14,1.0,1.0,cicids2017,bocpd_slo,23,0.261744966442953,240000,False
0.8041590954642504,0.42700355639237336,0.2602779162298266,1.0,0.4130484441216882,0.19537615682048498,0.23057097854823638,0.0,0.0,0.0,0.0,40.87364443270906,239931,0.15382588268539021,0.12018198519874879,0.9960853064774547,1.0,cicids2017,hst,23,0.21422867902647436,240000,False
0.34409330590203924,0.19111965874385498,0.25239287782884623,0.9999174576970697,0.40305032639290916,0.2972797763048238,0.30836360132737445,8.254230293025175e-05,0.0,0.0,0.0,365.3846651440348,239941,255802493518650.16,0.024708146569403722,2.099416351287085e+16,1.0,cicids2017,kitnet,23,0.02599817658824283,240000,False
0.7151129987335731,0.33906841573207963,0.36312582001888344,0.9777631035905902,0.5295756009674492,0.3312797945215348,0.39845174658199406,0.00765686520901399,0.0,0.0,0.0,83.18715609590424,239937,0.08717205780171473,0.3607093464418546,0.8619451440676587,1.0,cicids2017,loda,23,0.6086412386117649,240000,False
0.4752131229495607,0.25190795777655267,0.25239275818246215,0.9999669830788279,0.40305419702565126,0.5791761196714938,0.6162696032515294,3.30169211721007e-05,0.0,0.0,0.0,8.210330372782025,239941,0.08373355218004805,0.5375686406467161,0.99609375,1.0,cicids2017,rrcf,23,0.5548890536191179,240000,False
0.7034404580919548,0.32713760776969253,0.2896385196519078,1.0,0.4491778358637821,0.186648548102519,0.027871972917767295,0.0,0.0,0.0,0.0,43.45755923415186,239940,0.030468899236167746,0.23707951028437066,0.43969100730639255,1.0,cicids2017,iforest_asd,23,0.24998231145261446,240000,False
0.9718409145185722,0.862660966554123,0.8810882036284167,0.9051754023937267,0.892969398889305,0.25240084525909734,0.25240165508181,0.0041771853035724015,0.0,0.0,0.0,152.12592930594172,238628,0.0022387210083782473,9.62227568782396e-19,1.0,1.0,cicids2017,lof_batch_ref,23,2.171276415462356e-17,240000,False
0.8075728351061373,0.418965884610567,0.532445117335352,0.8708543128353281,0.6608455997494519,0.15970425251078862,0.19775687988371968,0.03497731596663252,0.0,0.0,1.0,4081.1856965962584,239874,0.13447151305005892,0.0,1.0,1.0,cicids2017,ecod_batch_ref,23,0.24296715950107123,240000,False
0.8117111519918692,0.42315640071117505,0.46152204890612736,0.9998514238547256,0.6315339457576926,0.16067342874543494,0.19724314817218702,9.90556692861388e-05,0.0,0.0,0.0,4208.066790743458,239905,0.14068451126376355,5.1992870249864283e-05,1.0,1.0,cicids2017,copod_batch_ref,23,0.12327073772909414,240000,False
0.8800762490302547,0.5449975692637248,0.6469633437035033,0.6316797358646307,0.6392301973788622,0.17242391956392553,0.17301228971008178,0.06102917719810557,0.0,1.0,1.0,417.45946273360687,239693,0.3893332531184578,2.547457190678683e-14,1.0,1.0,cicids2017,bocpd_slo,47,0.261744966442953,240000,False
0.7442750526211493,0.3585041886573327,0.40424055670061015,0.9810482872472142,0.5725585786958532,0.1916624475230286,0.17737170090801352,0.004272645018598573,0.0,0.0,0.0,40.32196555745019,239886,0.15355582670652498,0.06117168047608146,0.982414702372778,1.0,cicids2017,hst,47,0.21685949065384913,240000,False
0.34409330590203924,0.19111965874385498,0.25239287782884623,0.9999174576970697,0.40305032639290916,0.2972797763048238,0.30836360132737445,8.254230293025175e-05,0.0,0.0,0.0,370.50301420078387,239941,255802493518650.16,0.024708146569403722,2.099416351287085e+16,1.0,cicids2017,kitnet,47,0.02599817658824283,240000,False
0.7268182595719083,0.3471812744187183,0.3687166107591005,0.9798761865456046,0.5358127778655413,0.3274678692852319,0.39575838312039174,0.006693888479817926,0.0,0.0,0.0,84.47126560248404,239937,0.09073019355397964,0.33238305530095263,0.8610505162793541,1.0,cicids2017,loda,47,0.6064361968989496,240000,False
